"monatszahl","auspraegung","jahr","monat","wert"
"Alkoholunfälle","insgesamt",2025,1,34
"Alkoholunfälle","insgesamt",2025,2,24
"Alkoholunfälle","insgesamt",2025,3,28
"Alkoholunfälle","insgesamt",2025,4,26
"Alkoholunfälle","insgesamt",2025,5,43
"Alkoholunfälle","insgesamt",2025,6,39
"Alkoholunfälle","insgesamt",2025,7,48
"Alkoholunfälle","insgesamt",2025,8,55
"Alkoholunfälle","insgesamt",2025,9,53
"Alkoholunfälle","insgesamt",2025,10,32
"Alkoholunfälle","insgesamt",2025,11,39
"Alkoholunfälle","insgesamt",2025,12,25
"Alkoholunfälle","insgesamt",2024,1,24
"Alkoholunfälle","insgesamt",2024,2,28
"Alkoholunfälle","insgesamt",2024,3,25
"Alkoholunfälle","insgesamt",2024,4,38
"Alkoholunfälle","insgesamt",2024,5,32
"Alkoholunfälle","insgesamt",2024,6,55
"Alkoholunfälle","insgesamt",2024,7,45
"Alkoholunfälle","insgesamt",2024,8,47
"Alkoholunfälle","insgesamt",2024,9,46
"Alkoholunfälle","insgesamt",2024,10,37
"Alkoholunfälle","insgesamt",2024,11,37
"Alkoholunfälle","insgesamt",2024,12,29
"Alkoholunfälle","insgesamt",2023,1,35
"Alkoholunfälle","insgesamt",2023,2,33
"Alkoholunfälle","insgesamt",2023,3,35
"Alkoholunfälle","insgesamt",2023,4,38
"Alkoholunfälle","insgesamt",2023,5,44
"Alkoholunfälle","insgesamt",2023,6,45
"Alkoholunfälle","insgesamt",2023,7,44
"Alkoholunfälle","insgesamt",2023,8,37
"Alkoholunfälle","insgesamt",2023,9,61
"Alkoholunfälle","insgesamt",2023,10,40
"Alkoholunfälle","insgesamt",2023,11,32
"Alkoholunfälle","insgesamt",2023,12,21
"Alkoholunfälle","insgesamt",2022,1,19
"Alkoholunfälle","insgesamt",2022,2,32
"Alkoholunfälle","insgesamt",2022,3,28
"Alkoholunfälle","insgesamt",2022,4,34
"Alkoholunfälle","insgesamt",2022,5,57
"Alkoholunfälle","insgesamt",2022,6,60
"Alkoholunfälle","insgesamt",2022,7,54
"Alkoholunfälle","insgesamt",2022,8,44
"Alkoholunfälle","insgesamt",2022,9,56
"Alkoholunfälle","insgesamt",2022,10,49
"Alkoholunfälle","insgesamt",2022,11,28
"Alkoholunfälle","insgesamt",2022,12,32
"Alkoholunfälle","insgesamt",2021,1,16
"Alkoholunfälle","insgesamt",2021,2,14
"Alkoholunfälle","insgesamt",2021,3,24
"Alkoholunfälle","insgesamt",2021,4,16
"Alkoholunfälle","insgesamt",2021,5,24
"Alkoholunfälle","insgesamt",2021,6,48
"Alkoholunfälle","insgesamt",2021,7,44
"Alkoholunfälle","insgesamt",2021,8,46
"Alkoholunfälle","insgesamt",2021,9,54
"Alkoholunfälle","insgesamt",2021,10,43
"Alkoholunfälle","insgesamt",2021,11,33
"Alkoholunfälle","insgesamt",2021,12,21
"Alkoholunfälle","insgesamt",2020,1,28
"Alkoholunfälle","insgesamt",2020,2,40
"Alkoholunfälle","insgesamt",2020,3,27
"Alkoholunfälle","insgesamt",2020,4,26
"Alkoholunfälle","insgesamt",2020,5,40
"Alkoholunfälle","insgesamt",2020,6,49
"Alkoholunfälle","insgesamt",2020,7,58
"Alkoholunfälle","insgesamt",2020,8,46
"Alkoholunfälle","insgesamt",2020,9,46
"Alkoholunfälle","insgesamt",2020,10,34
"Alkoholunfälle","insgesamt",2020,11,23
"Alkoholunfälle","insgesamt",2020,12,13
"Alkoholunfälle","insgesamt",2019,1,22
"Alkoholunfälle","insgesamt",2019,2,28
"Alkoholunfälle","insgesamt",2019,3,34
"Alkoholunfälle","insgesamt",2019,4,36
"Alkoholunfälle","insgesamt",2019,5,39
"Alkoholunfälle","insgesamt",2019,6,40
"Alkoholunfälle","insgesamt",2019,7,48
"Alkoholunfälle","insgesamt",2019,8,31
"Alkoholunfälle","insgesamt",2019,9,47
"Alkoholunfälle","insgesamt",2019,10,45
"Alkoholunfälle","insgesamt",2019,11,29
"Alkoholunfälle","insgesamt",2019,12,35
"Alkoholunfälle","insgesamt",2018,1,22
